well_number,latitude,longitude,zone
12,34.9609086,-98.247829,"FORTUNA, NOBLE, OLSON"
4,34.9682052,-98.2345603,FORTUNA
1,34.970081,-98.2630528,PERMIAN
A-1,34.9645856,-98.2522553,FORTUNA
D-2,34.9501031,-98.2344761,NILES
1-A,34.9550151,-98.2461371,FORTUNA
2,34.9228853,-98.1202548,YULE
24-4,34.9236285,-98.1242422,FORTUNA
36-5,34.926446,-98.1179297,"FORTUNA, NOBLE, OLSON"
23-6,34.9264856,-98.124391,"FORTUNA, NOBLE, OLSON"
7-1,34.9246746,-98.1421704,"FORTUNA, NOBLE, OLSON"
1-7,34.9192816,-98.1378051,PERMIAN
1,34.9193565,-98.1289993,FORTUNA
A2-10,34.9212873,-98.1355371,FORTUNA
1-1,34.9246747,-98.1399842,FORTUNA
5,34.9210646,-98.1685517,FORTUNA
4-7,34.9400757,-98.1959525,PERMIAN
1,34.9482899,-98.2344472,NOBLE OLSEN
15,34.9483119,-98.2290442,FORTUNA
40-1,34.9337768,-98.1958926,PERMIAN
57-5,34.9301398,-98.1948066,"HOXBAR, PERMIAN "
1,34.9318803,-98.1487466,MARCHAND
3,34.939202,-98.1530029,"CISCO, FORTUNA, NOBLE"
3-1A,34.933694,-98.14619,"FORTUNA, NOBLE, OLSON"
6,34.9518796,-98.1991797,NOBLE OLSEN
6-7,34.9484172,-98.2145911,"HOXBAR, PERMIAN "
6-1,35.0163475,-98.5258885,BROMIDE
5,34.957179,-98.1200523,FORTUNA
14-16,34.9283541,-98.1361349,"FORTUNA, NOBLE, OLSON"
4,34.937244,-98.1092177,FORTUNA
10-1B,34.9300969,-98.1421416,"FORTUNA, NOBLE, OLSON"
12-2,34.9303098,-98.4365736,BROMIDE
6,34.9101131,-98.0959904,WADE
37-3,34.9339187,-98.1994387,FORTUNA
37-7,34.933979,-98.2033492,FORTUNA
3-21,34.9391805,-98.2014584,"FORTUNA, NOBLE, OLSON"
2,34.9410816,-98.2277335,NOBLE OLSEN
23,34.9374918,-98.2211314,YULE
20-4A,34.9319277,-98.1246479,FORTUNA
2,34.9212443,-98.1519559,FORTUNA
3,34.9664159,-98.2478518,"FORTUNA, NOBLE, OLSON"
1-29,35.6634592,-98.2879244,PONTOTOC
1-14,35.6056395,-98.2355114,ANHYDRITE
14-7,35.336348,-97.69545,HUNTON
1,35.6926378,-98.2922805,"TONKAWA, WELLINGTON"
1-12,35.4487643,-97.6814475,PERMIAN
6-30,35.5711879,-98.0977089,COTTAGE GROVE
6-19,35.5856908,-98.0939655,COTTAGE GROVE
1-6,35.6292496,-98.089637,COTTAGE GROVE
13-17,35.6002883,-98.0809024,COTTAGE GROVE
3-17,35.600231,-98.077021,COTTAGE GROVE
 5-7,35.607483,-98.077021,COTTAGE GROVE
2,35.6374107,-98.0889989,COTTAGE GROVE
5-29,35.5717335,-98.0805525,COTTAGE GROVE
9-6,35.6374106,-98.0972545,"COTTAGE GROVE, LAYTON"
4-7,35.6210559,-98.0976243,COTTAGE GROVE
7-18,35.6074681,-98.0985138,COTTAGE GROVE
7-20,35.5856831,-98.0731276,COTTAGE GROVE
6-20,35.5929995,-98.0731831,COTTAGE GROVE
1-32,35.5611819,-98.0729819,COTTAGE GROVE
32-2,35.5639015,-98.0674576,COTTAGE GROVE
2-25N,35.6609408,-98.1017158,COTTAGE GROVE
2-19,35.5929547,-98.0939344,COTTAGE GROVE
9-20,35.5820495,-98.0686612,COTTAGE GROVE
2-19N,35.6754906,-98.0911986,COTTAGE GROVE
12-18,35.6002941,-98.0852817,COTTAGE GROVE
2-31,35.3815169,-98.2951929,UPPER MARCHAND
1-34,35.3856703,-98.2523281,MARCHAND
1A-20,35.5838166,-98.2786976,CHASE
1,35.5238268,-98.1437103,"PENN, UNDIFFERENTIATED PERMO, TONKAWA"
11-7,35.6104074,-98.0927312,COTTAGE GROVE
2-24,35.5859959,-98.1010786,"COTTAGE GROVE, DEESE"
11-30,35.5711879,-98.0851383,"COTTAGE GROVE, LAYTON"
7-8,35.6150409,-98.0795564,COTTAGE GROVE
2-13,35.6074999,-98.1050692,COTTAGE GROVE
1-12,35.7048475,-97.6783573,ARBUCKLE
1-1,35.6290078,-97.6748714,HOOVER
14-12,35.3392222,97.69575,"HUNTON, BOIS D ARC"
14-11,35.336805,-97.69175,HUNTON
1-24,35.6693801,-97.6814303,ARBUCKLE
14-13,35.336805,-97.69175,HUNTON
1,35.6400125,-98.2665626,"DOUGLAS, HOOVER, TONKAWA"
1-20SWD,35.673602,-98.075731,"DOUGLAS, SHAWNEE "
1-13,35.6026661,-98.2235551,PENNSLYVANIA
1,35.4783719,-98.0868613,"GARBER, WELLINGTON"
2,35.6682486,-98.2502398,"PENN, TONKAWA"
1-2 SWD,35.540001,-97.115829,PENNSYLVANIA
1,35.447859,-97.682791,PERMIAN
